Manufacturer;Model;Sales_in_thousands;__year_resale_value;Vehicle_type;Price_in_thousands;Engine_size;Horsepower;Wheelbase;Width;Length;Curb_weight;Fuel_capacity;Fuel_efficiency;Latest_Launch;Power_perf_factor;Country;City;State;Region;name;email
Acura;Integra;16919;1636;Passenger;215;18;140;1012;673;1724;2639;132;28;2/2/2012;5828014952;United States;Henderson;Kentucky;South;Mason Howell;jessica.cole@example.net
Acura;TL;39384;19875;Passenger;284;32;225;1081;703;1929;3517;172;25;6/3/2011;9137077766;United States;Henderson;Kentucky;South;Mason Howell;jessica.cole@example.net
Acura;CL;14114;18225;Passenger;;32;225;1069;706;192;347;172;26;1/4/2012;;United States;Los Angeles;California;West;Mason Howell;jessica.cole@example.net
Acura;RL;8588;29725;Passenger;42;35;210;1146;714;1966;385;18;22;3/10/2011;9138977933;United States;Fort Lauderdale;Florida;South;Mason Howell;jessica.cole@example.net
Audi;A4;20397;22255;Passenger;2399;18;150;1026;682;178;2998;164;27;10/8/2011;627776392;United States;Fort Lauderdale;Florida;South;Mason Howell;jessica.cole@example.net
Audi;A6;1878;23555;Passenger;3395;28;200;1087;761;192;3561;185;22;8/9/2011;8456510502;United States;Los Angeles;California;West;Miss Sheila Lehner Jr.;becker.beatrice@example.com
Audi;A8;138;39;Passenger;62;42;310;113;74;1982;3902;237;21;2/27/2012;1346568582;United States;Los Angeles;California;West;Miss Sheila Lehner Jr.;becker.beatrice@example.com
BMW;323i;19747;;Passenger;2699;25;170;1073;684;176;3179;166;26;6/28/2011;7119120671;United States;Los Angeles;California;West;Miss Sheila Lehner Jr.;becker.beatrice@example.com
BMW;328i;9231;28675;Passenger;334;28;193;1073;685;176;3197;166;24;1/29/2012;8187706856;United States;Los Angeles;California;West;Miss Sheila Lehner Jr.;becker.beatrice@example.com
BMW;528i;17527;36125;Passenger;389;28;193;1114;709;188;3472;185;25;4/4/2011;839987238;United States;Los Angeles;California;West;Melyna Beahan II;plittle@example.org
Buick;Century;91561;12475;Passenger;21975;31;175;109;727;1946;3368;175;25;11/2/2011;7118145132;United States;Los Angeles;California;West;Melyna Beahan II;plittle@example.org
Buick;Regal;3935;1374;Passenger;253;38;240;109;727;1962;3543;175;23;9/3/2011;9563670253;United States;Los Angeles;California;West;Melyna Beahan II;plittle@example.org
Buick;Park Avenue;27851;2019;Passenger;31965;38;205;1138;747;2068;3778;185;24;3/23/2012;8582840825;United States;Concord;North Carolina;South;Melyna Beahan II;plittle@example.org
Buick;LeSabre;83257;1336;Passenger;27885;38;205;1122;735;200;3591;175;25;7/23/2011;8425452581;United States;Seattle;Washington;West;Lolita Reilly II;christop.gleichner@example.com
Cadillac;DeVille;63729;22525;Passenger;39895;46;275;1153;745;2072;3978;185;22;2/23/2012;1138545976;United States;Fort Worth;Texas;Central;Lolita Reilly II;christop.gleichner@example.com
Cadillac;Seville;15943;271;Passenger;44475;46;275;1122;75;201;;185;22;4/29/2011;1156213578;United States;Fort Worth;Texas;Central;Lolita Reilly II;christop.gleichner@example.com
Cadillac;Eldorado;6536;25725;Passenger;39665;46;275;108;755;2006;3843;19;22;11/27/2011;1137658739;United States;Madison;Wisconsin;Central;Lolita Reilly II;christop.gleichner@example.com
Cadillac;Catera;11185;18225;Passenger;3101;3;200;1074;703;1948;377;18;22;9/28/2011;8348309358;United States;West Jordan;Utah;West;Dr. Kurt Pfannerstill;ruecker.abbie@example.net
Cadillac;Escalade;14785;;Car;46225;57;255;1175;77;2012;5572;30;15;4/17/2012;1095091165;United States;San Francisco;California;West;Dr. Kurt Pfannerstill;ruecker.abbie@example.net
Chevrolet;Cavalier;145519;925;Passenger;1326;22;115;1041;679;1809;2676;143;27;8/17/2011;4636334747;United States;San Francisco;California;West;Dr. Kurt Pfannerstill;ruecker.abbie@example.net
Chevrolet;Malibu;135126;11225;Passenger;16535;31;170;107;694;1904;3051;15;25;3/19/2012;6731446216;United States;San Francisco;California;West;Dr. Kurt Pfannerstill;ruecker.abbie@example.net
Chevrolet;Lumina;24629;1031;Passenger;1889;31;175;1075;725;2009;333;166;25;5/24/2011;699913956;United States;Fremont;Nebraska;Central;Prof. Tyson Labadie;torp.eino@example.org
Chevrolet;Monte Carlo;42593;11525;Passenger;1939;34;180;1105;727;1979;334;17;27;12/22/2011;7203091719;United States;Fremont;Nebraska;Central;Prof. Tyson Labadie;torp.eino@example.org
Chevrolet;Camaro;26402;13025;Passenger;2434;38;200;1011;741;1932;35;168;25;10/23/2011;8111854333;United States;Philadelphia;Pennsylvania;East;Prof. Tyson Labadie;torp.eino@example.org
Chevrolet;Corvette;17947;36225;Passenger;45705;57;345;1045;736;1797;321;191;22;5/12/2012;14114115;United States;Orem;Utah;West;Prof. Tyson Labadie;torp.eino@example.org
Chevrolet;Prizm;32299;9125;Passenger;1396;18;120;971;667;1743;2398;132;33;9/11/2011;482976361;United States;Los Angeles;California;West;Charlie Wisozk;raleigh.marquardt@example.com
Chevrolet;Metro;21855;516;Passenger;9235;1;55;931;626;1494;1895;103;45;4/13/2012;2327627233;United States;Los Angeles;California;West;Charlie Wisozk;raleigh.marquardt@example.com
Chevrolet;Impala;107995;;Passenger;1889;34;180;1105;73;200;3389;17;27;6/18/2011;7183803944;United States;Philadelphia;Pennsylvania;East;Charlie Wisozk;raleigh.marquardt@example.com
Chrysler;Sebring Coupe;7854;1236;Passenger;1984;25;163;1037;697;1909;2967;159;24;1/16/2012;6595718396;United States;Philadelphia;Pennsylvania;East;Charlie Wisozk;raleigh.marquardt@example.com
Chrysler;Sebring Conv.;32775;1418;Passenger;24495;25;168;106;692;193;3332;16;24;11/17/2011;6952135505;United States;Philadelphia;Pennsylvania;East;Ted Wolf I;fredy.bode@example.net
Chrysler;Concorde;31148;13725;Passenger;22245;27;200;113;744;2091;3452;17;26;6/6/2012;8002378204;United States;Philadelphia;Pennsylvania;East;Ted Wolf I;fredy.bode@example.net
Chrysler;Cirrus;32306;1264;Passenger;1648;2;132;108;71;186;2911;16;27;10/6/2011;5356619987;United States;Philadelphia;Pennsylvania;East;Ted Wolf I;fredy.bode@example.net
Chrysler;LHS;13462;17325;Passenger;2834;35;253;113;744;2077;3564;17;23;5/8/2012;1013292807;United States;Philadelphia;Pennsylvania;East;Ted Wolf I;fredy.bode@example.net
Chrysler;Town & Country;5348;1954;Car;;;;;;;;;;7/13/2011;;United States;Philadelphia;Pennsylvania;East;Keanu Wilkinson DVM;mdonnelly@example.net
Chrysler;300M;30696;;Passenger;29185;35;253;113;744;1978;3567;17;23;2/10/2012;1016552441;United States;Houston;Texas;Central;Keanu Wilkinson DVM;mdonnelly@example.net
Dodge;Neon;76034;775;Passenger;1264;2;132;105;744;1744;2567;125;29;12/12/2011;5208489875;United States;Richardson;Texas;Central;Keanu Wilkinson DVM;mdonnelly@example.net
Dodge;Avenger;4734;12545;Passenger;19045;25;163;1037;691;1902;2879;159;24;7/1/2012;6565050834;United States;Richardson;Texas;Central;Keanu Wilkinson DVM;mdonnelly@example.net
Dodge;Stratus;71186;10185;Passenger;2023;25;168;108;71;186;3058;16;24;10/31/2011;6787610784;United States;Houston;Texas;Central;Keanu Wilkinson DVM;mdonnelly@example.net
Dodge;Intrepid;88028;12275;Passenger;22505;27;202;113;747;2037;3489;17;;6/2/2012;8083147017;United States;Houston;Texas;Central;Keanu Wilkinson DVM;mdonnelly@example.net
Dodge;Viper;916;5847;Passenger;69725;8;450;962;757;1767;3375;19;16;8/7/2011;188144323;United States;Houston;Texas;Central;Mr. Rosendo Lindgren;smith.arthur@example.org
Dodge;Ram Pickup;227061;1506;Car;1946;52;230;1387;793;2242;447;26;17;3/6/2012;9021170005;United States;Houston;Texas;Central;Mr. Rosendo Lindgren;smith.arthur@example.org
Dodge;Ram Wagon;16767;1551;Car;21315;39;175;1096;788;1926;4245;32;15;1/6/2012;7113529161;United States;Naperville;Illinois;Central;Mr. Rosendo Lindgren;smith.arthur@example.org
Dodge;Ram Van;31038;13425;Car;18575;39;175;1272;788;2085;4298;32;16;7/26/2012;7007832154;United States;Los Angeles;California;West;Mr. Rosendo Lindgren;smith.arthur@example.org
Dodge;Dakota;111313;1126;Car;1698;25;120;131;715;215;3557;22;19;11/25/2011;4964500177;United States;Melbourne;Florida;South;Lexi Zemlak;mae.torp@example.com
Dodge;Durango;101323;;Car;2631;52;230;1157;717;1935;4394;25;17;6/27/2012;9285412522;United States;Eagan;Minnesota;Central;Lexi Zemlak;mae.torp@example.com
Dodge;Caravan;181749;12025;Car;19565;24;150;1133;768;1863;3533;20;24;9/1/2011;6122700031;United States;Eagan;Minnesota;Central;Lexi Zemlak;mae.torp@example.com
Ford;Escort;70227;7425;Passenger;1207;2;110;984;67;1747;2468;127;30;3/31/2012;4408370946;United States;Westland;Michigan;Central;Lexi Zemlak;mae.torp@example.com
Ford;Mustang;113369;1276;Passenger;2156;38;190;1013;731;1832;3203;157;24;1/31/2012;7650918456;United States;Dover;Delaware;East;Amira Russel IV;lelah60@example.org
Ford;Contour;35068;8835;Passenger;17035;25;170;1065;691;1846;2769;15;25;8/20/2012;6735101072;United States;Dover;Delaware;East;Amira Russel IV;lelah60@example.org
Ford;Taurus;245815;10055;Passenger;17885;3;155;1085;73;1976;3368;16;24;12/20/2011;625037395;United States;New Albany;Indiana;Central;Amira Russel IV;lelah60@example.org
Ford;Focus;17567;;Passenger;12315;2;107;103;669;1748;2564;132;30;7/22/2012;4311713201;United States;New Albany;Indiana;Central;Amira Russel IV;lelah60@example.org
Ford;Crown Victoria;63403;1421;Passenger;22195;46;200;1147;782;212;3908;19;21;9/26/2011;8049953671;United States;New Albany;Indiana;Central;Amira Russel IV;lelah60@example.org
Ford;Explorer;276747;1664;Car;3193;4;210;1116;702;1907;3876;21;19;4/25/2012;8763549578;United States;New Albany;Indiana;Central;Reilly Botsford;schoen.geo@example.com
Ford;Windstar;155787;13175;Car;2141;3;150;1207;766;2009;3761;26;21;2/25/2012;6209504839;United States;New York City;New York;East;Reilly Botsford;schoen.geo@example.com
Ford;Expedition;125338;23575;Car;36135;46;240;119;787;2046;4808;26;16;9/14/2012;1000248023;United States;New York City;New York;East;Reilly Botsford;schoen.geo@example.com
Ford;Ranger;22065;785;Car;1205;25;119;1175;694;2007;3086;20;23;1/14/2012;4738953131;United States;Troy;New York;East;Reilly Botsford;schoen.geo@example.com
Ford;F-Series;540561;15075;Car;26935;46;220;1385;791;2245;4241;251;18;8/16/2012;8940193473;United States;Troy;New York;East;Reilly Botsford;schoen.geo@example.com
Honda;Civic;199685;985;Passenger;12885;16;106;1032;671;1751;2339;119;32;10/21/2011;4287909734;United States;Troy;New York;East;Reilly Botsford;schoen.geo@example.com
Honda;Accord;230902;1321;Passenger;1535;23;135;1069;703;1888;2932;171;27;5/20/2012;5426954829;United States;Troy;New York;East;Amparo DuBuque;maxie11@example.net
Honda;CR-V;73203;1771;Car;2055;2;146;1032;689;1776;3219;153;24;3/21/2012;6008796662;United States;Troy;New York;East;Amparo DuBuque;maxie11@example.net
Honda;Passport;12855;17525;Car;266;32;205;1064;704;1782;3857;211;19;10/9/2012;836025008;United States;Troy;New York;East;Amparo DuBuque;maxie11@example.net
Honda;Odyssey;76029;1949;Car;26;35;210;1181;756;2012;4288;20;23;2/8/2012;8521769134;United States;Troy;New York;East;Amparo DuBuque;maxie11@example.net
Hyundai;Accent;41184;586;Passenger;9699;15;92;961;657;1667;224;119;31;9/10/2012;3667228358;United States;Los Angeles;California;West;Joesph Kilback;lulu.ankunding@example.com
Hyundai;Elantra;66692;7825;Passenger;11799;2;140;1004;669;174;2626;145;27;11/15/2011;5459004516;United States;Los Angeles;California;West;Joesph Kilback;lulu.ankunding@example.com
Hyundai;Sonata;2945;891;Passenger;14999;24;148;1063;716;1854;3072;172;25;6/14/2012;58758249;United States;Los Angeles;California;West;Joesph Kilback;lulu.ankunding@example.com
Infiniti;I30;23713;1969;Passenger;29465;3;227;1083;702;1937;3342;185;25;4/15/2012;9243688923;United States;Los Angeles;California;West;Joesph Kilback;lulu.ankunding@example.com
Jaguar;S-Type;15467;;Passenger;428;3;240;1145;716;1913;365;184;21;11/3/2012;1021789848;United States;Chicago;Illinois;Central;Joesph Kilback;lulu.ankunding@example.com
Jeep;Wrangler;55557;13475;Car;1446;25;120;934;667;152;3045;19;17;3/4/2012;4867289791;United States;Gilbert;Arizona;West;Joesph Kilback;lulu.ankunding@example.com
Jeep;Cherokee;80556;13775;Car;2162;4;190;1014;694;1675;3194;20;20;10/5/2012;7658443962;United States;Gilbert;Arizona;West;Cary Spencer MD;nparisian@example.net
Jeep;Grand Cherokee;15704;1881;Car;26895;4;195;1059;723;1815;388;205;19;12/10/2011;8038777912;United States;Springfield;Virginia;South;Cary Spencer MD;nparisian@example.net
Lexus;ES300;24072;26975;Passenger;31505;3;210;1051;705;1902;3373;185;23;7/9/2012;8721100104;United States;New York City;New York;East;Cary Spencer MD;nparisian@example.net
Lexus;GS300;12698;32075;Passenger;37805;3;225;1102;709;1892;3638;198;23;5/10/2012;949466984;United States;Jackson;Michigan;Central;Cary Spencer MD;nparisian@example.net
Lexus;GS400;3334;;Passenger;46305;4;300;1102;709;1892;3693;198;21;11/28/2012;1250133574;United States;Memphis;Tennessee;South;Dr. Alphonso Kessler Jr.;vivien39@example.com
Lexus;LS400;6375;40375;Passenger;54005;4;290;1122;72;1967;389;225;22;3/29/2012;1244467163;United States;Memphis;Tennessee;South;Dr. Alphonso Kessler Jr.;vivien39@example.com
Lexus;LX470;9126;;Car;60105;47;230;1122;764;1925;5401;254;15;10/30/2012;105760458;United States;Memphis;Tennessee;South;Dr. Alphonso Kessler Jr.;vivien39@example.com
Lexus;RX300;51238;;Car;34605;3;220;103;715;1801;39;172;21;1/4/2012;9194380156;United States;Houston;Texas;Central;Dr. Alphonso Kessler Jr.;vivien39@example.com
Lincoln;Continental;13798;20525;Passenger;3908;46;275;109;736;2085;3868;20;22;8/3/2012;1135402069;United States;Houston;Texas;Central;Prof. Lia Daniel;tswaniawski@example.com
Lincoln;Town car;48911;21725;Passenger;4333;46;215;1177;782;2153;4121;19;21;6/4/2012;939579169;United States;Houston;Texas;Central;Prof. Lia Daniel;tswaniawski@example.com
Lincoln;Navigator;22925;;Car;4266;54;300;119;799;2048;5393;30;15;12/23/2012;1239720467;United States;Houston;Texas;Central;Prof. Lia Daniel;tswaniawski@example.com
Mitsubishi;Mirage;26232;8325;Passenger;13987;18;113;984;665;1736;225;132;30;4/23/2012;4583218056;United States;Decatur;Alabama;South;Prof. Lia Daniel;tswaniawski@example.com
Mitsubishi;Eclipse;42541;10395;Passenger;19047;24;154;1008;689;1754;291;159;24;11/24/2012;6244196235;United States;Decatur;Alabama;South;Furman Nolan;lwintheiser@example.net
Mitsubishi;Galant;55616;10595;Passenger;17357;24;145;1037;685;1878;2945;163;25;1/29/2012;5860677292;United States;San Francisco;California;West;Furman Nolan;lwintheiser@example.net
Mitsubishi;Diamante;5711;16575;Passenger;24997;35;210;1071;703;1941;3443;19;22;8/28/2012;8483077858;United States;San Francisco;California;West;Furman Nolan;lwintheiser@example.net
Mitsubishi;3000GT;11;2094;Passenger;2545;3;161;972;724;1803;3131;198;21;6/29/2012;6754415494;United States;Durham;North Carolina;South;Furman Nolan;lwintheiser@example.net
Mitsubishi;Montero;11337;19125;Car;31807;35;200;1073;699;1866;452;243;18;1/17/2012;8392081504;United States;Chicago;Illinois;Central;Furman Nolan;lwintheiser@example.net
Mitsubishi;Montero Sport;39348;1388;Car;22527;3;173;1073;667;1783;351;195;20;5/18/2012;7066094179;United States;Columbia;South Carolina;South;Furman Nolan;lwintheiser@example.net
Mercury;Mystique;14351;88;Passenger;1624;2;125;1065;691;1848;2769;15;28;12/19/2012;5099774761;United States;Rochester;Minnesota;Central;Mr. Eugene Von;vaughn.homenick@example.com
Mercury;Cougar;26529;1389;Passenger;1654;2;125;1064;696;185;2892;16;30;2/23/2012;5111347426;United States;Rochester;Minnesota;Central;Mr. Eugene Von;vaughn.homenick@example.com
Mercury;Sable;67956;1103;Passenger;19035;3;153;1085;73;1997;3379;16;24;9/22/2012;6223996663;United States;Houston;Texas;Central;Mr. Eugene Von;vaughn.homenick@example.com
Mercury;Grand Marquis;81174;14875;Passenger;22605;46;200;1147;782;212;3958;19;21;7/24/2012;8065769646;United States;Los Angeles;California;West;Mr. Eugene Von;vaughn.homenick@example.com
Mercury;Mountaineer;27609;2043;Car;2756;4;210;1116;702;1901;3876;21;18;2/13/2008;8594974425;United States;Los Angeles;California;West;Madyson Veum;adrian.glover@example.com
Mercury;Villager;2038;14795;Car;2251;33;170;1122;749;1947;3944;20;21;10/20/2009;69671461;United States;Los Angeles;California;West;Madyson Veum;adrian.glover@example.com
Mercedes-B;C-Class;18392;2605;Passenger;3175;23;185;1059;677;1774;325;164;26;4/24/2011;7828073088;United States;Minneapolis;Minnesota;Central;Madyson Veum;adrian.glover@example.com
Mercedes-B;E-Class;27602;4145;Passenger;499;32;221;1115;708;1894;3823;211;25;7/12/2011;982497375;United States;Minneapolis;Minnesota;Central;Madyson Veum;adrian.glover@example.com
Mercedes-B;S-Class;16774;50375;Passenger;697;43;275;1215;731;2031;4133;232;21;6/13/2011;1252738757;United States;Minneapolis;Minnesota;Central;Talia Bosco;julien15@example.org
